customer_id,age,gender,tenure_years,segment,branch,account_type,balance,num_accounts,num_products,has_loan,loan_outstanding,has_investment,has_credit_card,avg_monthly_credits,avg_monthly_debits,num_txn_3m,num_txn_6m,num_txn_12m,days_since_txn,days_since_login,low_balance_days,nps_score,complaint_count,digital_banking_active,last_branch_visit_days,salary_diverted,account_closed,customer_status,risk_level,risk_signal_count,sig_salary_diverted,sig_txn_inactive,sig_low_balance,sig_complaints,sig_digital_inactive,sig_fd_maturing,sig_low_nps,exit_week,exit_type,attrition_flag
CUST01001,30,Female,18,SME,Muscat North,Current,70186.93,2,2,0,0.0,1,0,7512.19,3349.18,31,38,69,40,42,19,75,1,1,290,0,0,Active,Safe,0,0,0,0,0,0,0,0,0,None,0
CUST01002,49,Male,10,Retail,Salalah,Savings,6327.72,4,3,0,0.0,1,1,647.76,363.87,30,45,80,89,52,3,39,2,1,674,1,0,Active,High,2,1,0,0,1,0,0,0,0,None,0
CUST01003,49,Male,5,SME,Muscat South,RD,34489.41,1,3,1,73362.38,1,0,6380.15,5755.15,6,6,26,94,535,6,75,0,0,363,0,0,Active,Medium,2,0,1,0,0,1,0,0,0,None,0
CUST01004,55,Female,19,SME,Sur,Savings,20385.75,2,3,1,72407.48,1,0,2159.72,1959.52,20,25,68,277,6,26,60,0,1,160,1,0,Inactive,High,2,1,1,0,0,0,0,0,0,None,0
CUST01005,43,Female,5,Retail,Muscat South,Savings,7999.89,3,3,1,12257.52,0,1,1156.13,1023.36,9,22,28,36,47,26,74,0,1,182,1,0,Active,High,1,1,0,0,0,0,0,0,0,None,0
CUST01006,61,Male,5,HNI,Sur,FD,206871.84,2,3,0,0.0,1,1,36526.37,32728.22,27,32,41,62,7,23,82,1,1,390,0,1,Churned,Churned,0,0,0,0,0,0,0,0,19,Account Closure,1
CUST01007,41,Female,2,SME,Salalah,Current,65028.15,4,2,1,54481.22,0,0,9399.41,5098.43,9,15,22,58,13,0,48,0,1,175,1,0,Active,High,1,1,0,0,0,0,0,0,0,None,0
CUST01008,44,Male,6,SME,Barka,Current,22833.42,2,3,1,33492.06,1,0,4070.33,2660.64,15,22,65,239,45,29,100,0,1,396,0,0,Inactive,Low,1,0,1,0,0,0,0,0,0,None,0
CUST01009,48,Female,5,Retail,Sohar,Current,13020.08,1,1,0,0.0,0,0,2467.96,2309.91,1,11,16,101,22,4,30,3,1,613,0,0,Active,High,3,0,1,0,1,0,0,1,0,None,0
CUST01010,33,Female,7,Retail,Muscat South,Savings,1383.56,3,3,0,0.0,1,1,80.7,50.34,26,39,81,338,43,245,0,0,1,95,0,0,Inactive,High,3,0,1,1,0,0,0,1,0,None,0
CUST01011,36,Male,10,Retail,Muscat South,Savings,11761.77,4,3,1,7363.82,0,1,1165.35,666.24,28,47,50,190,46,5,0,0,1,220,0,0,Inactive,Medium,2,0,1,0,0,0,0,1,0,None,0
